timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665140261431,4,Delete Users,200,OK,endurance 1-13,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,4,0,0
1665140261435,6,Get User by ID,200,OK,endurance 1-13,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,6,0,0
1665140263401,19,Get Users,200,OK,endurance 1-14,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,19,0,14
1665140263420,4,Delete Users,200,OK,endurance 1-14,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,4,0,0
1665140263424,4,Get User by ID,200,OK,endurance 1-14,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,4,0,0
1665140265410,21,Get Users,200,OK,endurance 1-15,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,21,0,15
1665140265431,5,Delete Users,200,OK,endurance 1-15,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,5,0,0
1665140265441,5,Get User by ID,200,OK,endurance 1-15,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,5,0,0
1665140267402,27,Get Users,200,OK,endurance 1-16,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,27,0,21
1665140267430,6,Delete Users,200,OK,endurance 1-16,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,6,0,0
1665140267436,6,Get User by ID,200,OK,endurance 1-16,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,6,0,0
1665140269405,55,Get Users,200,OK,endurance 1-17,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,55,0,36
1665140269460,6,Delete Users,200,OK,endurance 1-17,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,6,0,0
1665140269467,7,Get User by ID,200,OK,endurance 1-17,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,7,0,0
1665140271402,25,Get Users,200,OK,endurance 1-18,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,25,0,18
1665140271428,6,Delete Users,200,OK,endurance 1-18,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,6,0,0
1665140271434,10,Get User by ID,200,OK,endurance 1-18,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,10,0,0
1665140273404,33,Get Users,200,OK,endurance 1-19,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,33,0,16
1665140273437,6,Delete Users,200,OK,endurance 1-19,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,6,0,0
1665140273444,5,Get User by ID,200,OK,endurance 1-19,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,5,0,0
1665140275405,25,Get Users,200,OK,endurance 1-20,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,25,0,17
1665140275430,6,Delete Users,200,OK,endurance 1-20,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,6,0,0
1665140275437,5,Get User by ID,200,OK,endurance 1-20,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,4,0,0
1665140277402,20,Get Users,200,OK,endurance 1-21,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,20,0,16
1665140277422,4,Delete Users,200,OK,endurance 1-21,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,4,0,0
1665140277426,4,Get User by ID,200,OK,endurance 1-21,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,4,0,0
1665140279419,21,Get Users,200,OK,endurance 1-22,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,20,0,16
1665140279440,4,Delete Users,200,OK,endurance 1-22,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,4,0,0
1665140279445,6,Get User by ID,200,OK,endurance 1-22,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,6,0,0
1665140281406,35,Get Users,200,OK,endurance 1-23,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,35,0,21
1665140281441,5,Delete Users,200,OK,endurance 1-23,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,5,0,0
1665140281447,3,Get User by ID,200,OK,endurance 1-23,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,3,0,0
1665140283418,29,Get Users,200,OK,endurance 1-24,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,29,0,14
1665140283448,5,Delete Users,200,OK,endurance 1-24,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,5,0,0
1665140283453,4,Get User by ID,200,OK,endurance 1-24,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,4,0,0
1665140285417,29,Get Users,200,OK,endurance 1-25,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,29,0,14
1665140285446,4,Delete Users,200,OK,endurance 1-25,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,4,0,0
1665140285450,5,Get User by ID,200,OK,endurance 1-25,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,5,0,0
1665140287403,28,Get Users,200,OK,endurance 1-26,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,28,0,15
1665140287431,4,Delete Users,200,OK,endurance 1-26,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,4,0,0
1665140287436,4,Get User by ID,200,OK,endurance 1-26,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,4,0,0
1665140289404,32,Get Users,200,OK,endurance 1-27,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,32,0,18
1665140289436,5,Delete Users,200,OK,endurance 1-27,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,5,0,0
1665140289442,5,Get User by ID,200,OK,endurance 1-27,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,5,0,0
1665140291403,22,Get Users,200,OK,endurance 1-28,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,22,0,16
1665140291425,7,Delete Users,200,OK,endurance 1-28,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,7,0,0
1665140291432,6,Get User by ID,200,OK,endurance 1-28,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,6,0,0
1665140293401,23,Get Users,200,OK,endurance 1-29,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,23,0,17
1665140293425,5,Delete Users,200,OK,endurance 1-29,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,5,0,0
1665140293431,9,Get User by ID,200,OK,endurance 1-29,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,7,0,0
1665140295404,27,Get Users,200,OK,endurance 1-30,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,27,0,15
1665140295432,4,Delete Users,200,OK,endurance 1-30,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,4,0,0
1665140295437,4,Get User by ID,200,OK,endurance 1-30,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,4,0,0
